episode,sample_date,days_from_release,archive_downloads
1,5/13/15,14.2,2905
1,5/14/15,15.2,2938
1,5/15/15,16.2,2984
1,5/19/15,20.2,3049
1,5/20/15,21.2,3068
1,5/21/15,22.2,3079
1,5/26/15,27.2,3126
1,5/27/15,28.2,3145
1,6/3/15,35.2,3240
1,6/6/15,38.2,3273
1,6/9/15,41.2,3294
1,6/16/15,48.2,3343
1,6/17/15,49.2,3351
1,6/18/15,50.2,3353
1,7/9/15,71.2,3474
1,7/10/15,72.2,3481
1,7/15/15,77.2,3512
1,10/31/15,185.2,3744
2,5/13/15,0.2,1117
2,5/14/15,1.2,1944
2,5/15/15,2.2,2213
2,5/16/15,3.2,2388
2,5/19/15,6.2,2649
2,5/20/15,7.2,2703
2,5/21/15,8.2,2763
2,5/26/15,13.2,2889
2,5/27/15,14.2,2929
2,5/28/15,15.2,2964
2,6/3/15,21.2,3063
2,6/4/15,22.2,3079
2,6/5/15,23.2,3100
2,6/6/15,24.2,3118
2,6/9/15,27.2,3161
2,6/10/15,28.2,3173
2,6/11/15,29.2,3190
2,6/16/15,34.2,3227
2,6/19/15,37.2,3251
2,6/23/15,41.2,3285
2,7/9/15,57.2,3357
2,7/10/15,58.2,3359
2,7/14/15,62.2,3368
2,7/15/15,63.2,3371
2,7/16/15,64.2,3373
2,7/21/15,69.2,3403
2,12/2/15,203.2,3723
3,5/27/15,0.7,939
3,5/28/15,1.7,1812
3,6/3/15,7.7,2542
3,6/4/15,8.7,2612
3,6/6/15,10.8,2699
3,6/9/15,13.7,2786
3,6/11/15,15.7,2842
3,6/16/15,20.3,2910
3,6/18/15,22.7,2933
3,6/19/15,23.7,2942
3,6/23/15,27.6,2979
3,7/9/15,43.7,3100
4,6/10/15,0.7,743
4,6/11/15,1.7,1708
4,6/16/15,6.2,2252
4,6/17/15,7.7,2312
4,6/18/15,8.7,2365
4,6/19/15,9.7,2406
4,6/23/15,13.6,2521
4,6/24/15,14.8,2560
4,7/10/15,30.7,2776
4,7/14/15,34.7,2818
4,7/15/15,35.7,2824
4,7/17/15,37.7,2840
4,7/21/15,41.7,2866
